address,id,eyes,ears,mouth,horn,back,tail,class,breedcount,speed
0xfc2b6d02fa1384917f70b63184a831e214545d79,7736617,eyes-sleepless,ears-inkling,mouth-risky-fish,horn-scaly-spear,back-perch,tail-nimo,Aquatic,0,55
0xfc2b6d02fa1384917f70b63184a831e214545d79,8567659,eyes-blossom,ears-friezard,mouth-axie-kiss,horn-scaly-spear,back-indian-star,tail-rice,Reptile,3,40
0xfc2b6d02fa1384917f70b63184a831e214545d79,11248971,eyes-blossom,ears-rosa,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Plant,4,33
0x4bdb4f0455e424ab6e50e93fc93e0f92365a84f5,11265141,eyes-sleepless,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,44
0x4bdb4f0455e424ab6e50e93fc93e0f92365a84f5,11283851,eyes-topaz,ears-friezard,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,5,40
0x4bdb4f0455e424ab6e50e93fc93e0f92365a84f5,11287639,eyes-cucumber-slice,ears-leafy,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
0xf05b77dc6c6df94df55b9b0fa1c77d6170174103,9644929,eyes-blossom,ears-leafy,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,31
0xf05b77dc6c6df94df55b9b0fa1c77d6170174103,10970354,eyes-tricky,ears-curly,mouth-toothless-bite,horn-arco,back-furball,tail-twin-tail,Mech,0,46
0xf05b77dc6c6df94df55b9b0fa1c77d6170174103,11222304,eyes-little-owl,ears-bubblemaker,mouth-tiny-turtle,horn-wing-horn,back-bone-sail,tail-grass-snake,Dusk,2,51
0xcfce514aec2512cd9a37ad36cfc7bcb19df12da4,9289861,eyes-mavis,ears-early-bird,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,5,61
0xcfce514aec2512cd9a37ad36cfc7bcb19df12da4,11079688,eyes-gecko,ears-friezard,mouth-goda,horn-beech,back-sandal,tail-cattail,Dusk,4,42
0xcfce514aec2512cd9a37ad36cfc7bcb19df12da4,11243474,eyes-papi,ears-hollow,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,4,31
0x6712c5341839ae24eb6c846cf93ab3636e2a8a67,11280490,eyes-topaz,ears-friezard,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,2,42
0x6712c5341839ae24eb6c846cf93ab3636e2a8a67,11283835,eyes-mavis,ears-owl,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,2,61
